margin_low,margin_high,bin_low,bin_hi,p0.01,p0.1,p1,p2,p3,p4,p5,p10,p15,p20,p25,p30,p35,p40,p45,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95,p97,p98,p99,p99.9,p99.99
-100,-20.00000001,10.00000001,15,-64.5869453,-32.29347265,-30.71775167,-28.40796506,-24.81021725,-24.24261837,-23.86255353,-18.87449334,-16.69629068,-15.17245845,-14.1263825,-12.13180677,-10.77444278,-9.563012365,-7.880997443,-6.936786212,-5.869590307,-4.243585105,-1.16316691,0.857693556,1.846731775,4.387884003,7.611098621,9.237296605,12.54481858,13.92595973,16.14992376,19.58418594,32.34396343,64.68792686
-100,-20.00000001,15.00000001,20,-187.8397711,-93.91988555,-32.28293092,-29.78745673,-28.92312779,-24.37418232,-22.39351808,-17.47986341,-15.07619863,-13.23218237,-10.2958954,-9.249756851,-8.416063465,-7.07380236,-5.437069048,-3.699011347,-2.133276395,-0.04340093098,2.15533359,3.636685391,4.704104515,5.971226548,8.234229474,11.85328576,16.7798644,23.13414061,24.22598148,25.58978617,28.34380222,56.68760444
-100,-20.00000001,20.00000001,25,-65.91944678,-32.95972339,-29.54565056,-25.95169283,-24.20066641,-22.59005842,-20.00110574,-15.28742322,-13.80318884,-12.63383576,-10.51346588,-8.60279882,-6.938654179,-5.2399468,-2.840847495,-0.8179703749,0.5838062472,1.588933762,3.164945774,4.602352904,5.914722657,7.372581066,8.94482484,10.41042145,17.21006743,21.17014119,25.21266206,28.34370393,34.0067356,68.0134712
-100,-20.00000001,25.00000001,30,-64.3805098,-32.1902549,-24.92668653,-22.62191559,-21.68387288,-19.382648,-19.18294366,-14.77137007,-11.80977788,-10.67129143,-8.917478328,-7.894909637,-6.231889762,-4.806684389,-3.183947168,-1.228092839,0.6252020821,2.511133693,3.534440295,4.661464189,5.901269669,7.16844832,9.350605733,11.70008853,15.18056626,17.42023078,19.19672805,25.23804205,26.67228573,53.34457146
-100,-20.00000001,30.00000001,35,-74.9198468,-37.4599234,-22.7540659,-21.42759743,-19.98248776,-18.63623885,-16.19324682,-13.25742858,-11.55773595,-9.449550964,-7.364951015,-5.084501071,-3.531964409,-2.813500762,-1.212472103,0.324188962,1.872268595,3.412420787,4.143641271,5.186607079,5.796764077,6.837168636,8.301269265,11.49517892,15.07520254,18.30128583,19.72044432,22.46554824,23.76430946,47.52861892
-100,-20.00000001,35.00000001,40,-77.50899874,-38.75449937,-23.20703605,-22.19411028,-19.08617617,-17.72775697,-16.30154275,-13.50951764,-11.69700506,-9.77321652,-7.673872488,-5.997981733,-4.381070534,-3.425684821,-1.212024059,-0.2136090029,0.6368799026,2.09802891,3.092088279,5.010586568,6.269780053,7.794063296,9.282988924,12.4927085,15.2621297,16.70487473,17.08839139,19.06490465,39.16488553,78.32977106
-100,-20.00000001,40.00000001,45,-80.84041526,-40.42020763,-22.14065482,-17.46438905,-15.49553461,-13.63805878,-12.16329087,-10.70082856,-9.363981588,-7.630903636,-6.788724959,-5.547805563,-3.996546207,-2.776359654,-1.080896673,0.4097732105,1.558634534,2.644653316,4.057511657,5.135498386,6.342340118,7.496113766,8.56226882,10.65184272,13.2418909,14.63697341,15.12152703,16.04635893,18.2306853,36.4613706
-100,-20.00000001,45.00000001,50,-47.41841894,-23.70920947,-19.87404243,-16.47692255,-13.03410622,-12.52286742,-12.08779853,-10.3147319,-8.802895898,-7.035839836,-4.48377372,-2.911299187,-1.958757676,-1.086098616,0.1079044428,0.7912413825,1.229210212,2.121548374,3.099294719,4.335158195,5.271714551,6.291417947,7.444594885,9.496644697,10.82963919,12.20623989,13.29478259,14.72680558,15.59364223,31.18728446
-100,-20.00000001,50.00000001,55,-75.84348956,-37.92174478,-20.39840905,-17.33553179,-14.22129965,-11.892746,-11.55411439,-9.257452125,-7.266182303,-5.604023401,-4.21341637,-2.728158505,-1.330367371,-0.4442774522,0.1388020658,0.9020544055,1.733672134,2.329255267,3.026448899,3.980695459,4.980402623,6.055353618,6.830058997,8.295073508,9.920849006,10.44131099,10.83072925,11.4009543,13.45872903,26.91745806
-100,-20.00000001,55.00000001,60,-39.61799374,-19.80899687,-14.6222735,-13.36253758,-11.29736822,-10.40829796,-9.615334368,-7.476822974,-5.878809907,-4.157260929,-3.041580954,-1.64195801,-1.0033131,-0.3309481912,0,0.215503191,0.7193718899,1.330034861,1.938886746,2.54801995,3.09700009,4.029430831,4.803343837,6.596484173,8.873876371,10.28500212,11.62279087,12.33802224,18.71455489,37.42910978
